"STATISTIC","Statistic Label","TLIST(A1)","Year","C02480V03003","Type of Offence","C02479V04377","Garda Region","UNIT","VALUE"
"RCD06C02","Recorded crime rate","2018","2018","03","Attempts/Threats to Murder, Assaults, Harassment and Related offences","40","Southern Region","Number","376"
"RCD06C02","Recorded crime rate","2018","2018","03","Attempts/Threats to Murder, Assaults, Harassment and Related offences","IE0","State","Number",""
"RCD06C02","Recorded crime rate","2018","2018","04","Dangerous or Negligent Acts","10","Dublin Metropolitan Region","Number","133"
"RCD06C02","Recorded crime rate","2018","2018","04","Dangerous or Negligent Acts","20","North Western Region","Number","204"
"RCD06C02","Recorded crime rate","2018","2018","04","Dangerous or Negligent Acts","30","Eastern Region","Number","182"
"RCD06C02","Recorded crime rate","2018","2018","04","Dangerous or Negligent Acts","40","Southern Region","Number","192"
"RCD06C02","Recorded crime rate","2018","2018","04","Dangerous or Negligent Acts","IE0","State","Number",""
"RCD06C02","Recorded crime rate","2018","2018","05","Kidnapping and Related Offences","10","Dublin Metropolitan Region","Number","4"
"RCD06C02","Recorded crime rate","2018","2018","05","Kidnapping and Related Offences","20","North Western Region","Number","3"
"RCD06C02","Recorded crime rate","2018","2018","05","Kidnapping and Related Offences","30","Eastern Region","Number","2"
"RCD06C02","Recorded crime rate","2018","2018","05","Kidnapping and Related Offences","40","Southern Region","Number","3"
"RCD06C02","Recorded crime rate","2018","2018","05","Kidnapping and Related Offences","IE0","State","Number",""
"RCD06C02","Recorded crime rate","2018","2018","06","Robbery, Extortion and Hijacking Offences","10","Dublin Metropolitan Region","Number","131"
"RCD06C02","Recorded crime rate","2018","2018","06","Robbery, Extortion and Hijacking Offences","20","North Western Region","Number","16"
"RCD06C02","Recorded crime rate","2018","2018","06","Robbery, Extortion and Hijacking Offences","30","Eastern Region","Number","20"
"RCD06C02","Recorded crime rate","2018","2018","06","Robbery, Extortion and Hijacking Offences","40","Southern Region","Number","20"
"RCD06C02","Recorded crime rate","2018","2018","06","Robbery, Extortion and Hijacking Offences","IE0","State","Number",""
"RCD06C02","Recorded crime rate","2018","2018","07","Burglary and Related Offences","10","Dublin Metropolitan Region","Number","557"
"RCD06C02","Recorded crime rate","2018","2018","07","Burglary and Related Offences","20","North Western Region","Number","250"
"RCD06C02","Recorded crime rate","2018","2018","07","Burglary and Related Offences","30","Eastern Region","Number","313"
"RCD06C02","Recorded crime rate","2018","2018","07","Burglary and Related Offences","40","Southern Region","Number","229"
"RCD06C02","Recorded crime rate","2018","2018","07","Burglary and Related Offences","IE0","State","Number",""
"RCD06C02","Recorded crime rate","2018","2018","08","Theft and Related Offences","10","Dublin Metropolitan Region","Number","2590"
"RCD06C02","Recorded crime rate","2018","2018","08","Theft and Related Offences","20","North Western Region","Number","709"
"RCD06C02","Recorded crime rate","2018","2018","08","Theft and Related Offences","30","Eastern Region","Number","968"
"RCD06C02","Recorded crime rate","2018","2018","08","Theft and Related Offences","40","Southern Region","Number","984"
"RCD06C02","Recorded crime rate","2018","2018","08","Theft and Related Offences","IE0","State","Number",""
"RCD06C02","Recorded crime rate","2018","2018","09","Fraud, Deception and Related Offences","10","Dublin Metropolitan Region","Number","206"
"RCD06C02","Recorded crime rate","2018","2018","09","Fraud, Deception and Related Offences","20","North Western Region","Number","103"
"RCD06C02","Recorded crime rate","2018","2018","09","Fraud, Deception and Related Offences","30","Eastern Region","Number","106"
"RCD06C02","Recorded crime rate","2018","2018","09","Fraud, Deception and Related Offences","40","Southern Region","Number","89"
"RCD06C02","Recorded crime rate","2018","2018","09","Fraud, Deception and Related Offences","IE0","State","Number",""
"RCD06C02","Recorded crime rate","2018","2018","10","Controlled Drug Offences","10","Dublin Metropolitan Region","Number","503"
"RCD06C02","Recorded crime rate","2018","2018","10","Controlled Drug Offences","20","North Western Region","Number","212"
"RCD06C02","Recorded crime rate","2018","2018","10","Controlled Drug Offences","30","Eastern Region","Number","398"
"RCD06C02","Recorded crime rate","2018","2018","10","Controlled Drug Offences","40","Southern Region","Number","342"
"RCD06C02","Recorded crime rate","2018","2018","10","Controlled Drug Offences","IE0","State","Number",""
"RCD06C02","Recorded crime rate","2018","2018","11","Weapons and Explosives Offences","10","Dublin Metropolitan Region","Number","84"
"RCD06C02","Recorded crime rate","2018","2018","11","Weapons and Explosives Offences","20","North Western Region","Number","38"
"RCD06C02","Recorded crime rate","2018","2018","11","Weapons and Explosives Offences","30","Eastern Region","Number","35"
"RCD06C02","Recorded crime rate","2018","2018","11","Weapons and Explosives Offences","40","Southern Region","Number","39"
"RCD06C02","Recorded crime rate","2018","2018","11","Weapons and Explosives Offences","IE0","State","Number",""
"RCD06C02","Recorded crime rate","2018","2018","12","Damage to Property and to the Environment","10","Dublin Metropolitan Region","Number","620"
"RCD06C02","Recorded crime rate","2018","2018","12","Damage to Property and to the Environment","20","North Western Region","Number","362"
"RCD06C02","Recorded crime rate","2018","2018","12","Damage to Property and to the Environment","30","Eastern Region","Number","369"
"RCD06C02","Recorded crime rate","2018","2018","12","Damage to Property and to the Environment","40","Southern Region","Number","380"
"RCD06C02","Recorded crime rate","2018","2018","12","Damage to Property and to the Environment","IE0","State","Number",""
"RCD06C02","Recorded crime rate","2018","2018","13","Public Order and other Social Code Offences","10","Dublin Metropolitan Region","Number","762"
"RCD06C02","Recorded crime rate","2018","2018","13","Public Order and other Social Code Offences","20","North Western Region","Number","666"
"RCD06C02","Recorded crime rate","2018","2018","13","Public Order and other Social Code Offences","30","Eastern Region","Number","468"
"RCD06C02","Recorded crime rate","2018","2018","13","Public Order and other Social Code Offences","40","Southern Region","Number","721"
"RCD06C02","Recorded crime rate","2018","2018","13","Public Order and other Social Code Offences","IE0","State","Number",""
"RCD06C02","Recorded crime rate","2018","2018","15","Offences against Government, Justice Procedures and Organisation of Crime","10","Dublin Metropolitan Region","Number","679"
"RCD06C02","Recorded crime rate","2018","2018","15","Offences against Government, Justice Procedures and Organisation of Crime","20","North Western Region","Number","156"
"RCD06C02","Recorded crime rate","2018","2018","15","Offences against Government, Justice Procedures and Organisation of Crime","30","Eastern Region","Number","202"
"RCD06C02","Recorded crime rate","2018","2018","15","Offences against Government, Justice Procedures and Organisation of Crime","40","Southern Region","Number","259"
"RCD06C02","Recorded crime rate","2018","2018","15","Offences against Government, Justice Procedures and Organisation of Crime","IE0","State","Number",""
"RCD06C02","Recorded crime rate","2019","2019","01","Homicide Offences","10","Dublin Metropolitan Region","Number","2"
"RCD06C02","Recorded crime rate","2019","2019","01","Homicide Offences","20","North Western Region","Number","1"
"RCD06C02","Recorded crime rate","2019","2019","01","Homicide Offences","30","Eastern Region","Number","1"
"RCD06C02","Recorded crime rate","2019","2019","01","Homicide Offences","40","Southern Region","Number","1"
"RCD06C02","Recorded crime rate","2019","2019","01","Homicide Offences","IE0","State","Number",""
"RCD06C02","Recorded crime rate","2019","2019","02","Sexual Offences","10","Dublin Metropolitan Region","Number","76"
"RCD06C02","Recorded crime rate","2019","2019","02","Sexual Offences","20","North Western Region","Number","68"
"RCD06C02","Recorded crime rate","2019","2019","02","Sexual Offences","30","Eastern Region","Number","64"
"RCD06C02","Recorded crime rate","2019","2019","02","Sexual Offences","40","Southern Region","Number","62"
"RCD06C02","Recorded crime rate","2019","2019","02","Sexual Offences","IE0","State","Number",""
"RCD06C02","Recorded crime rate","2019","2019","03","Attempts/Threats to Murder, Assaults, Harassment and Related offences","10","Dublin Metropolitan Region","Number","539"
"RCD06C02","Recorded crime rate","2019","2019","03","Attempts/Threats to Murder, Assaults, Harassment and Related offences","20","North Western Region","Number","437"
"RCD06C02","Recorded crime rate","2019","2019","03","Attempts/Threats to Murder, Assaults, Harassment and Related offences","30","Eastern Region","Number","365"
"RCD06C02","Recorded crime rate","2019","2019","03","Attempts/Threats to Murder, Assaults, Harassment and Related offences","40","Southern Region","Number","412"
"RCD06C02","Recorded crime rate","2019","2019","03","Attempts/Threats to Murder, Assaults, Harassment and Related offences","IE0","State","Number",""
"RCD06C02","Recorded crime rate","2019","2019","04","Dangerous or Negligent Acts","10","Dublin Metropolitan Region","Number","142"
"RCD06C02","Recorded crime rate","2019","2019","04","Dangerous or Negligent Acts","20","North Western Region","Number","201"
"RCD06C02","Recorded crime rate","2019","2019","04","Dangerous or Negligent Acts","30","Eastern Region","Number","181"
"RCD06C02","Recorded crime rate","2019","2019","04","Dangerous or Negligent Acts","40","Southern Region","Number","185"
"RCD06C02","Recorded crime rate","2019","2019","04","Dangerous or Negligent Acts","IE0","State","Number",""
"RCD06C02","Recorded crime rate","2019","2019","05","Kidnapping and Related Offences","10","Dublin Metropolitan Region","Number","3"
"RCD06C02","Recorded crime rate","2019","2019","05","Kidnapping and Related Offences","20","North Western Region","Number","3"
"RCD06C02","Recorded crime rate","2019","2019","05","Kidnapping and Related Offences","30","Eastern Region","Number","2"
"RCD06C02","Recorded crime rate","2019","2019","05","Kidnapping and Related Offences","40","Southern Region","Number","3"
"RCD06C02","Recorded crime rate","2019","2019","05","Kidnapping and Related Offences","IE0","State","Number",""
"RCD06C02","Recorded crime rate","2019","2019","06","Robbery, Extortion and Hijacking Offences","10","Dublin Metropolitan Region","Number","115"
"RCD06C02","Recorded crime rate","2019","2019","06","Robbery, Extortion and Hijacking Offences","20","North Western Region","Number","21"
"RCD06C02","Recorded crime rate","2019","2019","06","Robbery, Extortion and Hijacking Offences","30","Eastern Region","Number","20"
"RCD06C02","Recorded crime rate","2019","2019","06","Robbery, Extortion and Hijacking Offences","40","Southern Region","Number","23"
"RCD06C02","Recorded crime rate","2019","2019","06","Robbery, Extortion and Hijacking Offences","IE0","State","Number",""
"RCD06C02","Recorded crime rate","2019","2019","07","Burglary and Related Offences","10","Dublin Metropolitan Region","Number","556"
"RCD06C02","Recorded crime rate","2019","2019","07","Burglary and Related Offences","20","North Western Region","Number","222"
"RCD06C02","Recorded crime rate","2019","2019","07","Burglary and Related Offences","30","Eastern Region","Number","322"
"RCD06C02","Recorded crime rate","2019","2019","07","Burglary and Related Offences","40","Southern Region","Number","206"
"RCD06C02","Recorded crime rate","2019","2019","07","Burglary and Related Offences","IE0","State","Number",""
"RCD06C02","Recorded crime rate","2019","2019","08","Theft and Related Offences","10","Dublin Metropolitan Region","Number","2668"
"RCD06C02","Recorded crime rate","2019","2019","08","Theft and Related Offences","20","North Western Region","Number","702"
"RCD06C02","Recorded crime rate","2019","2019","08","Theft and Related Offences","30","Eastern Region","Number","973"
"RCD06C02","Recorded crime rate","2019","2019","08","Theft and Related Offences","40","Southern Region","Number","914"
"RCD06C02","Recorded crime rate","2019","2019","08","Theft and Related Offences","IE0","State","Number",""
"RCD06C02","Recorded crime rate","2019","2019","09","Fraud, Deception and Related Offences","10","Dublin Metropolitan Region","Number","254"
"RCD06C02","Recorded crime rate","2019","2019","09","Fraud, Deception and Related Offences","20","North Western Region","Number","126"
"RCD06C02","Recorded crime rate","2019","2019","09","Fraud, Deception and Related Offences","30","Eastern Region","Number","124"
"RCD06C02","Recorded crime rate","2019","2019","09","Fraud, Deception and Related Offences","40","Southern Region","Number","120"
"RCD06C02","Recorded crime rate","2019","2019","09","Fraud, Deception and Related Offences","IE0","State","Number",""
"RCD06C02","Recorded crime rate","2019","2019","10","Controlled Drug Offences","10","Dublin Metropolitan Region","Number","602"
"RCD06C02","Recorded crime rate","2019","2019","10","Controlled Drug Offences","20","North Western Region","Number","265"
"RCD06C02","Recorded crime rate","2019","2019","10","Controlled Drug Offences","30","Eastern Region","Number","450"
"RCD06C02","Recorded crime rate","2019","2019","10","Controlled Drug Offences","40","Southern Region","Number","355"
"RCD06C02","Recorded crime rate","2019","2019","10","Controlled Drug Offences","IE0","State","Number",""
"RCD06C02","Recorded crime rate","2019","2019","11","Weapons and Explosives Offences","10","Dublin Metropolitan Region","Number","90"
"RCD06C02","Recorded crime rate","2019","2019","11","Weapons and Explosives Offences","20","North Western Region","Number","43"
"RCD06C02","Recorded crime rate","2019","2019","11","Weapons and Explosives Offences","30","Eastern Region","Number","37"
"RCD06C02","Recorded crime rate","2019","2019","11","Weapons and Explosives Offences","40","Southern Region","Number","41"
"RCD06C02","Recorded crime rate","2019","2019","11","Weapons and Explosives Offences","IE0","State","Number",""
"RCD06C02","Recorded crime rate","2019","2019","12","Damage to Property and to the Environment","10","Dublin Metropolitan Region","Number","639"
"RCD06C02","Recorded crime rate","2019","2019","12","Damage to Property and to the Environment","20","North Western Region","Number","375"
"RCD06C02","Recorded crime rate","2019","2019","12","Damage to Property and to the Environment","30","Eastern Region","Number","359"
"RCD06C02","Recorded crime rate","2019","2019","12","Damage to Property and to the Environment","40","Southern Region","Number","364"
"RCD06C02","Recorded crime rate","2019","2019","12","Damage to Property and to the Environment","IE0","State","Number",""
"RCD06C02","Recorded crime rate","2019","2019","13","Public Order and other Social Code Offences","10","Dublin Metropolitan Region","Number","788"
"RCD06C02","Recorded crime rate","2019","2019","13","Public Order and other Social Code Offences","20","North Western Region","Number","686"
"RCD06C02","Recorded crime rate","2019","2019","13","Public Order and other Social Code Offences","30","Eastern Region","Number","481"
"RCD06C02","Recorded crime rate","2019","2019","13","Public Order and other Social Code Offences","40","Southern Region","Number","655"
"RCD06C02","Recorded crime rate","2019","2019","13","Public Order and other Social Code Offences","IE0","State","Number",""
"RCD06C02","Recorded crime rate","2019","2019","15","Offences against Government, Justice Procedures and Organisation of Crime","10","Dublin Metropolitan Region","Number","743"
"RCD06C02","Recorded crime rate","2019","2019","15","Offences against Government, Justice Procedures and Organisation of Crime","20","North Western Region","Number","204"
"RCD06C02","Recorded crime rate","2019","2019","15","Offences against Government, Justice Procedures and Organisation of Crime","30","Eastern Region","Number","221"
"RCD06C02","Recorded crime rate","2019","2019","15","Offences against Government, Justice Procedures and Organisation of Crime","40","Southern Region","Number","225"
"RCD06C02","Recorded crime rate","2019","2019","15","Offences against Government, Justice Procedures and Organisation of Crime","IE0","State","Number",""
"RCD06C02","Recorded crime rate","2020","2020","01","Homicide Offences","10","Dublin Metropolitan Region","Number","2"
"RCD06C02","Recorded crime rate","2020","2020","01","Homicide Offences","20","North Western Region","Number","1"
"RCD06C02","Recorded crime rate","2020","2020","01","Homicide Offences","30","Eastern Region","Number","1"
"RCD06C02","Recorded crime rate","2020","2020","01","Homicide Offences","40","Southern Region","Number","2"
"RCD06C02","Recorded crime rate","2020","2020","01","Homicide Offences","IE0","State","Number",""
"RCD06C02","Recorded crime rate","2020","2020","02","Sexual Offences","10","Dublin Metropolitan Region","Number","68"
"RCD06C02","Recorded crime rate","2020","2020","02","Sexual Offences","20","North Western Region","Number","58"
"RCD06C02","Recorded crime rate","2020","2020","02","Sexual Offences","30","Eastern Region","Number","62"
"RCD06C02","Recorded crime rate","2020","2020","02","Sexual Offences","40","Southern Region","Number","56"
"RCD06C02","Recorded crime rate","2020","2020","02","Sexual Offences","IE0","State","Number",""
"RCD06C02","Recorded crime rate","2020","2020","03","Attempts/Threats to Murder, Assaults, Harassment and Related offences","10","Dublin Metropolitan Region","Number","474"
"RCD06C02","Recorded crime rate","2020","2020","03","Attempts/Threats to Murder, Assaults, Harassment and Related offences","20","North Western Region","Number","374"
"RCD06C02","Recorded crime rate","2020","2020","03","Attempts/Threats to Murder, Assaults, Harassment and Related offences","30","Eastern Region","Number","322"
"RCD06C02","Recorded crime rate","2020","2020","03","Attempts/Threats to Murder, Assaults, Harassment and Related offences","40","Southern Region","Number","337"
"RCD06C02","Recorded crime rate","2020","2020","03","Attempts/Threats to Murder, Assaults, Harassment and Related offences","IE0","State","Number",""
"RCD06C02","Recorded crime rate","2020","2020","04","Dangerous or Negligent Acts","10","Dublin Metropolitan Region","Number","173"
"RCD06C02","Recorded crime rate","2020","2020","04","Dangerous or Negligent Acts","20","North Western Region","Number","196"
"RCD06C02","Recorded crime rate","2020","2020","04","Dangerous or Negligent Acts","30","Eastern Region","Number","163"
"RCD06C02","Recorded crime rate","2020","2020","04","Dangerous or Negligent Acts","40","Southern Region","Number","167"
"RCD06C02","Recorded crime rate","2020","2020","04","Dangerous or Negligent Acts","IE0","State","Number",""
"RCD06C02","Recorded crime rate","2020","2020","05","Kidnapping and Related Offences","10","Dublin Metropolitan Region","Number","4"
"RCD06C02","Recorded crime rate","2020","2020","05","Kidnapping and Related Offences","20","North Western Region","Number","4"
"RCD06C02","Recorded crime rate","2020","2020","05","Kidnapping and Related Offences","30","Eastern Region","Number","2"
"RCD06C02","Recorded crime rate","2020","2020","05","Kidnapping and Related Offences","40","Southern Region","Number","2"
"RCD06C02","Recorded crime rate","2020","2020","05","Kidnapping and Related Offences","IE0","State","Number",""
"RCD06C02","Recorded crime rate","2020","2020","06","Robbery, Extortion and Hijacking Offences","10","Dublin Metropolitan Region","Number","90"
"RCD06C02","Recorded crime rate","2020","2020","06","Robbery, Extortion and Hijacking Offences","20","North Western Region","Number","12"
"RCD06C02","Recorded crime rate","2020","2020","06","Robbery, Extortion and Hijacking Offences","30","Eastern Region","Number","16"
"RCD06C02","Recorded crime rate","2020","2020","06","Robbery, Extortion and Hijacking Offences","40","Southern Region","Number","16"
"RCD06C02","Recorded crime rate","2020","2020","06","Robbery, Extortion and Hijacking Offences","IE0","State","Number",""
"RCD06C02","Recorded crime rate","2020","2020","07","Burglary and Related Offences","10","Dublin Metropolitan Region","Number","365"
"RCD06C02","Recorded crime rate","2020","2020","07","Burglary and Related Offences","20","North Western Region","Number","144"
"RCD06C02","Recorded crime rate","2020","2020","07","Burglary and Related Offences","30","Eastern Region","Number","183"
"RCD06C02","Recorded crime rate","2020","2020","07","Burglary and Related Offences","40","Southern Region","Number","146"
"RCD06C02","Recorded crime rate","2020","2020","07","Burglary and Related Offences","IE0","State","Number",""
"RCD06C02","Recorded crime rate","2020","2020","08","Theft and Related Offences","10","Dublin Metropolitan Region","Number","1961"
"RCD06C02","Recorded crime rate","2020","2020","08","Theft and Related Offences","20","North Western Region","Number","543"
"RCD06C02","Recorded crime rate","2020","2020","08","Theft and Related Offences","30","Eastern Region","Number","700"
"RCD06C02","Recorded crime rate","2020","2020","08","Theft and Related Offences","40","Southern Region","Number","718"
"RCD06C02","Recorded crime rate","2020","2020","08","Theft and Related Offences","IE0","State","Number",""
"RCD06C02","Recorded crime rate","2020","2020","09","Fraud, Deception and Related Offences","10","Dublin Metropolitan Region","Number","235"
"RCD06C02","Recorded crime rate","2020","2020","09","Fraud, Deception and Related Offences","20","North Western Region","Number","135"
"RCD06C02","Recorded crime rate","2020","2020","09","Fraud, Deception and Related Offences","30","Eastern Region","Number","126"
"RCD06C02","Recorded crime rate","2020","2020","09","Fraud, Deception and Related Offences","40","Southern Region","Number","118"
"RCD06C02","Recorded crime rate","2020","2020","09","Fraud, Deception and Related Offences","IE0","State","Number",""
"RCD06C02","Recorded crime rate","2020","2020","10","Controlled Drug Offences","10","Dublin Metropolitan Region","Number","684"
"RCD06C02","Recorded crime rate","2020","2020","10","Controlled Drug Offences","20","North Western Region","Number","317"
"RCD06C02","Recorded crime rate","2020","2020","10","Controlled Drug Offences","30","Eastern Region","Number","377"
"RCD06C02","Recorded crime rate","2020","2020","10","Controlled Drug Offences","40","Southern Region","Number","417"
"RCD06C02","Recorded crime rate","2020","2020","10","Controlled Drug Offences","IE0","State","Number",""
"RCD06C02","Recorded crime rate","2020","2020","11","Weapons and Explosives Offences","10","Dublin Metropolitan Region","Number","96"
"RCD06C02","Recorded crime rate","2020","2020","11","Weapons and Explosives Offences","20","North Western Region","Number","47"
"RCD06C02","Recorded crime rate","2020","2020","11","Weapons and Explosives Offences","30","Eastern Region","Number","46"
"RCD06C02","Recorded crime rate","2020","2020","11","Weapons and Explosives Offences","40","Southern Region","Number","50"
"RCD06C02","Recorded crime rate","2020","2020","11","Weapons and Explosives Offences","IE0","State","Number",""
"RCD06C02","Recorded crime rate","2020","2020","12","Damage to Property and to the Environment","10","Dublin Metropolitan Region","Number","558"
"RCD06C02","Recorded crime rate","2020","2020","12","Damage to Property and to the Environment","20","North Western Region","Number","328"
"RCD06C02","Recorded crime rate","2020","2020","12","Damage to Property and to the Environment","30","Eastern Region","Number","326"
"RCD06C02","Recorded crime rate","2020","2020","12","Damage to Property and to the Environment","40","Southern Region","Number","314"
"RCD06C02","Recorded crime rate","2020","2020","12","Damage to Property and to the Environment","IE0","State","Number",""
"RCD06C02","Recorded crime rate","2020","2020","13","Public Order and other Social Code Offences","10","Dublin Metropolitan Region","Number","816"
"RCD06C02","Recorded crime rate","2020","2020","13","Public Order and other Social Code Offences","20","North Western Region","Number","517"
"RCD06C02","Recorded crime rate","2020","2020","13","Public Order and other Social Code Offences","30","Eastern Region","Number","395"
"RCD06C02","Recorded crime rate","2020","2020","13","Public Order and other Social Code Offences","40","Southern Region","Number","552"
"RCD06C02","Recorded crime rate","2020","2020","13","Public Order and other Social Code Offences","IE0","State","Number",""
"RCD06C02","Recorded crime rate","2020","2020","15","Offences against Government, Justice Procedures and Organisation of Crime","10","Dublin Metropolitan Region","Number","366"
"RCD06C02","Recorded crime rate","2020","2020","15","Offences against Government, Justice Procedures and Organisation of Crime","20","North Western Region","Number","138"
"RCD06C02","Recorded crime rate","2020","2020","15","Offences against Government, Justice Procedures and Organisation of Crime","30","Eastern Region","Number","157"
"RCD06C02","Recorded crime rate","2020","2020","15","Offences against Government, Justice Procedures and Organisation of Crime","40","Southern Region","Number","187"
"RCD06C02","Recorded crime rate","2020","2020","15","Offences against Government, Justice Procedures and Organisation of Crime","IE0","State","Number",""
"RCD06C02","Recorded crime rate","2021","2021","01","Homicide Offences","10","Dublin Metropolitan Region","Number","1"
"RCD06C02","Recorded crime rate","2021","2021","01","Homicide Offences","20","North Western Region","Number","1"
"RCD06C02","Recorded crime rate","2021","2021","01","Homicide Offences","30","Eastern Region","Number","1"
"RCD06C02","Recorded crime rate","2021","2021","01","Homicide Offences","40","Southern Region","Number","1"
"RCD06C02","Recorded crime rate","2021","2021","01","Homicide Offences","IE0","State","Number",""
"RCD06C02","Recorded crime rate","2021","2021","02","Sexual Offences","10","Dublin Metropolitan Region","Number","75"
"RCD06C02","Recorded crime rate","2021","2021","02","Sexual Offences","20","North Western Region","Number","71"
"RCD06C02","Recorded crime rate","2021","2021","02","Sexual Offences","30","Eastern Region","Number","68"
"RCD06C02","Recorded crime rate","2021","2021","02","Sexual Offences","40","Southern Region","Number","64"
"RCD06C02","Recorded crime rate","2021","2021","02","Sexual Offences","IE0","State","Number",""
"RCD06C02","Recorded crime rate","2021","2021","03","Attempts/Threats to Murder, Assaults, Harassment and Related offences","10","Dublin Metropolitan Region","Number","474"
"RCD06C02","Recorded crime rate","2021","2021","03","Attempts/Threats to Murder, Assaults, Harassment and Related offences","20","North Western Region","Number","408"
"RCD06C02","Recorded crime rate","2021","2021","03","Attempts/Threats to Murder, Assaults, Harassment and Related offences","30","Eastern Region","Number","347"
"RCD06C02","Recorded crime rate","2021","2021","03","Attempts/Threats to Murder, Assaults, Harassment and Related offences","40","Southern Region","Number","367"
"RCD06C02","Recorded crime rate","2021","2021","03","Attempts/Threats to Murder, Assaults, Harassment and Related offences","IE0","State","Number",""
"RCD06C02","Recorded crime rate","2021","2021","04","Dangerous or Negligent Acts","10","Dublin Metropolitan Region","Number","150"
"RCD06C02","Recorded crime rate","2021","2021","04","Dangerous or Negligent Acts","20","North Western Region","Number","198"
"RCD06C02","Recorded crime rate","2021","2021","04","Dangerous or Negligent Acts","30","Eastern Region","Number","154"
"RCD06C02","Recorded crime rate","2021","2021","04","Dangerous or Negligent Acts","40","Southern Region","Number","157"
"RCD06C02","Recorded crime rate","2021","2021","04","Dangerous or Negligent Acts","IE0","State","Number",""
"RCD06C02","Recorded crime rate","2021","2021","05","Kidnapping and Related Offences","10","Dublin Metropolitan Region","Number","3"
"RCD06C02","Recorded crime rate","2021","2021","05","Kidnapping and Related Offences","20","North Western Region","Number","3"
"RCD06C02","Recorded crime rate","2021","2021","05","Kidnapping and Related Offences","30","Eastern Region","Number","3"
"RCD06C02","Recorded crime rate","2021","2021","05","Kidnapping and Related Offences","40","Southern Region","Number","3"
"RCD06C02","Recorded crime rate","2021","2021","05","Kidnapping and Related Offences","IE0","State","Number",""
"RCD06C02","Recorded crime rate","2021","2021","06","Robbery, Extortion and Hijacking Offences","10","Dublin Metropolitan Region","Number","81"
"RCD06C02","Recorded crime rate","2021","2021","06","Robbery, Extortion and Hijacking Offences","20","North Western Region","Number","16"
"RCD06C02","Recorded crime rate","2021","2021","06","Robbery, Extortion and Hijacking Offences","30","Eastern Region","Number","17"
"RCD06C02","Recorded crime rate","2021","2021","06","Robbery, Extortion and Hijacking Offences","40","Southern Region","Number","15"
"RCD06C02","Recorded crime rate","2021","2021","06","Robbery, Extortion and Hijacking Offences","IE0","State","Number",""
"RCD06C02","Recorded crime rate","2021","2021","07","Burglary and Related Offences","10","Dublin Metropolitan Region","Number","252"
"RCD06C02","Recorded crime rate","2021","2021","07","Burglary and Related Offences","20","North Western Region","Number","127"
"RCD06C02","Recorded crime rate","2021","2021","07","Burglary and Related Offences","30","Eastern Region","Number","166"
"RCD06C02","Recorded crime rate","2021","2021","07","Burglary and Related Offences","40","Southern Region","Number","114"
"RCD06C02","Recorded crime rate","2021","2021","07","Burglary and Related Offences","IE0","State","Number",""
"RCD06C02","Recorded crime rate","2021","2021","08","Theft and Related Offences","10","Dublin Metropolitan Region","Number","1776"
"RCD06C02","Recorded crime rate","2021","2021","08","Theft and Related Offences","20","North Western Region","Number","478"
"RCD06C02","Recorded crime rate","2021","2021","08","Theft and Related Offences","30","Eastern Region","Number","631"
"RCD06C02","Recorded crime rate","2021","2021","08","Theft and Related Offences","40","Southern Region","Number","646"
"RCD06C02","Recorded crime rate","2021","2021","08","Theft and Related Offences","IE0","State","Number",""
"RCD06C02","Recorded crime rate","2021","2021","09","Fraud, Deception and Related Offences","10","Dublin Metropolitan Region","Number","435"
"RCD06C02","Recorded crime rate","2021","2021","09","Fraud, Deception and Related Offences","20","North Western Region","Number","320"
"RCD06C02","Recorded crime rate","2021","2021","09","Fraud, Deception and Related Offences","30","Eastern Region","Number","298"
"RCD06C02","Recorded crime rate","2021","2021","09","Fraud, Deception and Related Offences","40","Southern Region","Number","288"
"RCD06C02","Recorded crime rate","2021","2021","09","Fraud, Deception and Related Offences","IE0","State","Number",""
"RCD06C02","Recorded crime rate","2021","2021","10","Controlled Drug Offences","10","Dublin Metropolitan Region","Number","531"
"RCD06C02","Recorded crime rate","2021","2021","10","Controlled Drug Offences","20","North Western Region","Number","267"
"RCD06C02","Recorded crime rate","2021","2021","10","Controlled Drug Offences","30","Eastern Region","Number","349"
"RCD06C02","Recorded crime rate","2021","2021","10","Controlled Drug Offences","40","Southern Region","Number","396"
"RCD06C02","Recorded crime rate","2021","2021","10","Controlled Drug Offences","IE0","State","Number",""
"RCD06C02","Recorded crime rate","2021","2021","11","Weapons and Explosives Offences","10","Dublin Metropolitan Region","Number","80"
"RCD06C02","Recorded crime rate","2021","2021","11","Weapons and Explosives Offences","20","North Western Region","Number","40"
"RCD06C02","Recorded crime rate","2021","2021","11","Weapons and Explosives Offences","30","Eastern Region","Number","33"
"RCD06C02","Recorded crime rate","2021","2021","11","Weapons and Explosives Offences","40","Southern Region","Number","42"
"RCD06C02","Recorded crime rate","2021","2021","11","Weapons and Explosives Offences","IE0","State","Number",""
"RCD06C02","Recorded crime rate","2021","2021","12","Damage to Property and to the Environment","10","Dublin Metropolitan Region","Number","542"
"RCD06C02","Recorded crime rate","2021","2021","12","Damage to Property and to the Environment","20","North Western Region","Number","319"
"RCD06C02","Recorded crime rate","2021","2021","12","Damage to Property and to the Environment","30","Eastern Region","Number","302"
"RCD06C02","Recorded crime rate","2021","2021","12","Damage to Property and to the Environment","40","Southern Region","Number","333"
